words,sentence,filename
['OK-õun-Fun'],Fun oli teha .,Failid_ettenten_retaggered/muurileht_ee__154941.json
['OK-kõik-koik'],"Pere , lapsed , see on koik pudipadi .",Failid_ettenten_retaggered/naistekas_delfi_ee__215849.json
['OK-küll-kyll'],"Disaineri enda looming on nii seinast seina , et mingist erilisest stiilsusest kyll rääkida ei saa .",Failid_ettenten_retaggered/naistekas_delfi_ee__236976.json
['OK-küllaltki-kyllaltki'],"Tema toodete odavamad sarjad on suht kehvades materjalidest ja kyllaltki niru kvaliteediga rõivad , millega on odavad kaubamad ( nagu Target ) yleujutatud .",Failid_ettenten_retaggered/naistekas_delfi_ee__236976.json
['OK-kõik-Köik'],Köik .,Failid_ettenten_retaggered/naistekas_delfi_ee__293939.json
['OK-kõik-köik'],Vastupidi - köik muutume söbralikuks .,Failid_ettenten_retaggered/naistekas_delfi_ee__293939.json
['OK-üks-yks'],"kes tugevamad saavad vöitu ja lähevad ära , sest yks vöimutsev ja vindiselt märatsev mees ei löpeta kunagi .",Failid_ettenten_retaggered/naistekas_delfi_ee__467893.json
['OK-õli-üli'],saan aru küll et ise pööran neile liiga vähe tähelepanu oma üli kiires elutempos .,Failid_ettenten_retaggered/naistekas_delfi_ee__623380.json
['OK-möödas-Mõõdas'],Mõõdas on 5 päeva ja kaal on langenud .,Failid_ettenten_retaggered/naistekas_delfi_ee__96554.json
['OK-nägu-nigu'],Nüüd aga ostsin paar kasti maasikaid ja ohsapoiss .... töötab nigu loom .,Failid_ettenten_retaggered/nami-nami_ee__162683.json
['OK-hää-hää'],"Natuke omaküpsetatud "" paatleiva "" väljanägemisega rukkileiba , mis maitses hää ja oli tänu lühikesele kerkimisajale teise maitsega .",Failid_ettenten_retaggered/nami-nami_ee__195891.json
['OK-hää-hää'],"Need ei ole mõeldud kevadeni säilimiseks , aga veel mõne kuu pärast maitseb hää ( sest karusmarja hapususe tõttu lisan sinna nagunii rohkem suhkrut kui magusate marjade toormoosidesse , mida säilitan sügavkülmas ) .",Failid_ettenten_retaggered/nami-nami_ee__578827.json
['OK-hää-hää'],"Salat sai nii hää , et niuhti otsas juba .",Failid_ettenten_retaggered/nami-nami_ee__650402.json
['OK-võimalik-voimalik'],"- 3D-pildistamisrežiim : voimaldab teha mis tahes objektist kolmemootmelise pildi , mida on voimalik kuvada 3D-teleritel ja - arvutiekraanidel .",Failid_ettenten_retaggered/nikon_co_ee__10133.json
['OK-pää-Pff'],Pff .,Failid_ettenten_retaggered/noortehaal_delfi_ee__518253.json
['NAME-õun-Jun'],"Uurimuse esimene autor Jun Hee Lee surus maha kärbse sestriini geeni aktiivsuse ning leidis , et kuigi sestriini mitte tootvad kärbsed arenesid normaalselt , oli nende AMPK tavalisest madalamalt aktiveeritud , TOR aga üleaktiveeritud .",Failid_ettenten_retaggered/novaator_ee__540011.json
['OK-õrn-Orn'],Orn ja oblukene pojaarmastus on naistest juba rammumehed teinud .,Failid_ettenten_retaggered/novaator_ee__54719.json
['OK-või-voi'],"Parem pooraks tähelepanu selle mikroobijutu asemel minu arvates positiivsele teadussaavutusele ameerikas , kus perekonnad saavad soovi avaldada , kas nende järglaseks saab poeg voi tütar .",Failid_ettenten_retaggered/novaator_ee__54719.json
"['OK-läbi-l2bi', 'OK-kõikjal-k6ikjal']","Pealkiri pole l2bi m6eldud , sest nii suur puuviljavalik on pea k6ikjal troopikas .",Failid_ettenten_retaggered/ohtuleht_ee__102967.json
"['OK-või-v6i', 'OK-vähemalt-v2hemalt']","( kui sees on palju v2ikeseid ymmargusi seemneid , siis on see papaya ) Eelviimasel pildil on minuarvates sapodilla v6i v2hemalt selle mingi sugulane .",Failid_ettenten_retaggered/ohtuleht_ee__102967.json
['NAME-öine-Fine'],"Kohtusse viis asja üks plaadifirma , mis väitis , et selle loo originaalesitus "" He’s So Fine "" on aastast 1963 ning selle esitas tüdrukutebänd The Chiffons .",Failid_ettenten_retaggered/ohtuleht_ee__112078.json
['NAME-täis-This'],"Seda esitas ta nime all "" This Song "" – täpselt samal moel , kui seda lugu kohtus nimetati .",Failid_ettenten_retaggered/ohtuleht_ee__112078.json
['NAME-täis-This'],""" This Song "" on neljas lugu George Harrisoni 1976. aastal ilmunud albumil "" Thirty Three & 1 / 3 "" .",Failid_ettenten_retaggered/ohtuleht_ee__112078.json
['NAME-tõus-Tyus'],Itaalia korvpallimeistrivõistluste ehk Seria A avavooru ilusama soorituse sai enda nimele Cheboletta Cantu ja Iisraeli koondise tsenter Alex Tyus .,Failid_ettenten_retaggered/ohtuleht_ee__480189.json
"['OK-kõik-koik', 'OK-välja-valja', 'OK-tõsi-tosi']","See koik on vapustav ja samas imeline ja uskumatu , aga tuleb valja , et siiski tosi .",Failid_ettenten_retaggered/pesa_ingliabi_ee__84744.json
"['OK-nüüd-nyyd', 'OK-sõda-syda']","Mina olen oma elus kaks korda olnud , kuidas seda nyyd oelda , kliiniliselt surnud ja kodus on kaks korda syda seisma jaanudja elule tagasi antud , aga ma pole kunagi mingit valgust jne . kogenud , kuigi oleksin niivaga tahtnud .",Failid_ettenten_retaggered/pesa_ingliabi_ee__84744.json
['OK-õnnetu-onnetu'],"onnetu , ehk sa lihtsalt ei mäleta See on nagu unenägudega , inimene näeb terve öö unenägusid aga mäletame neist vaid väikest osa .",Failid_ettenten_retaggered/pesa_ingliabi_ee__84744.json
['ENGLISH-hüve-have'],"Kiirus oli küll korralik , kuid nagu kogenumad ütlevad – “ to win , first you have to finish .” Boksinaabriteks sattusid seekord meile Džintara Volga ehk Merevaigust Volga GAZ24′d .",Failid_ettenten_retaggered/petrolheads_ee__278566.json
['OK-müra-MIRA'],"Minski poest , mis mind ikka aegajalt üllatab ( meeldivalt enamjaolt , muide ) , õnnestus täna leida imepärane valik tooteid Solvex MIRA Frukt nimeliselt Bulgaaria firmalt .",Failid_ettenten_retaggered/pilleriin_ee__69777.json
['NAME-kõne-Kene'],Tulevastel kontserditel peaks bändiga üles astuma ka Marten Kuningas ja Kene Vernik .,Failid_ettenten_retaggered/poff_epl_ee__291286.json
['NAME-õnnis-Innis'],"Kolmas VÕTA nõukoja koosolek toimus 27.02.2009 Tallinnas , Viru Innis , kutsutud olid Tiia Kurvits ja Heddi Lutterus Haridus- ja Teadusministeeriumist .",Failid_ettenten_retaggered/primus_archimedes_ee__415934.json
['OK-küll-kyll'],"eks kott kartulaid per naase ole elu aeg enne talve maalt toodud ja pool siga soola pandud , porgandid , sibulad , kyysaauk , ikka enne talve ... kas see on maailmalõpuks valmistumine , treeninguna kyll .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__108060.json
"['OK-jälle-j2lle', 'OK-võrk-v2rk', 'OK-järgi-j2rgi', 'OK-kähku-k2hku']","Ma j2lle ei m6ista , mis v2rk selle inimestele j2rgi k2imsega poodides , sest sellise tegevuse peale tahaks vaid k2hku sealt kaduda .. kuidagi ebamugav tunne tekib , kui keegi sulle kuklasse hingab .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__127302.json
"['OK-ühes-yhes', 'OK-õde-6de']","Viimane juhus oli p2rnus yhes riidepoes , kuhu 6de minna tahtis ja ma siis oma tuttavaga kaasa l2ksin .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__127302.json
['OK-järgi-j2rgi'],"Vaatasin poes asju ja m2rkasin , et keegi vaatab mind ja tuttavat kahtlase pilguga ning k2ib j2rgi .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__127302.json
"['OK-pärast-P2rast', 'OK-õde-6de', 'OK-küsima-kysima']","P2rast 6de r22kis , et oli saaliteenindaja vms , juurde midagi kysima l2inud , siis see 6elnud , et ta ei saa praegu aidata , sest j2lgib kahte tyypi , ehk siis mind ja minu tuttavat .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__127302.json
['OK-ära-Tra'],Tra .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__127302.json
['OK-ülespoole-ylespoole'],No kui need suitse seal ei oleks siis su laps ei teaks et suitsetamine on paha ja millest vanaisa sussid ylespoole seadis- in all do respect .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__130001.json
"['OK-võibolla-voibolla', 'OK-kõik-koik']","kui ta seda ei teaks maast madalast ja hyppaks ellu oivikuna ning esimese ettejuhtuva suitsupakkumisele ja ytleb - tuleks tast voibolla salasuitsu salasuitsetaja ... nii et koik asjad ei ole alati mustvalged ning ega siis kui asi pole nähtaval kohal , ei tee see asja olematuks .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__130001.json
['OK-nägu-nigu'],"see mutt on sama vaenulik , nigu see kirjanikumutt , kes raamatukogu raamatutest kõik ropud sõnad välja lõikas või maha kriipsutas .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__130001.json
"['OK-üks-Yks', 'OK-mõte-mote']","Yks kuulus hea mote oli Leninilt naiteks- oppida , oppida , oppida .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__131553.json
['OK-õpilane-öpilane'],"Väidab küll , et on praegu öpilane , aga mina ei usu .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__133775.json
['OK-nõu-nôu'],Aga vôiksid ka nôu anda kuidas seda telefoni suvel kasutada .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__138200.json
['OK-või-vôi'],"Kui on päike siis ei näe migadi sellel ekraanilt , poe vôi laua alla aga kui ei ole lauda kuhu alla pugeda mis siis peag tegema .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__138200.json
['OK-komöödia-komeedia'],"Vahest tunniataks ausalt , et asi läks täiesti aia taha ja lõpetame selle komeedia ära .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__139776.json
['OK-või-voi'],"kui on vaja midagi tosta voi sikutada , siis vajaks ikka toekamat inimest .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__251818.json
['OK-või-voi'],"Ja noori ka ei tahaks , oleksid pidevalt millegagi haiged / voi lapsed haiged .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__251818.json
['OK-tööline-tooline'],Seega perfect tooline oleks keskeas mammi ( kellel lapsed juba suured ) .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__251818.json
"['OK-välja-valja', 'OK-või-voi']","Ja on olemas ju katseaeg , millal selgitatakse valja , kas see inimene sobib sellele toole voi mitte .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__251818.json
['OK-ütlema-utlema'],"Ja peaks utlema , et suurema rinnapartiiga kassapidajad toovad kindlasti rohkem sisse .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__251818.json
['OK-küsima-kusima'],"Niisiis , ei peaks kusima , kui palju sa kaalud , vaid kui suur on su rinnapartii .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__251818.json
['OK-üle-yle'],olen yle kahekymne aasta välismaal elanud ja olen jöudnud unustada eestlaste öeluse teineteise vastu .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__254101.json
['OK-üksteist-yksteist'],"aina kui koduigatsus peale tuleb , peab vist paar juttu lugema sellest kuidas eestlased yksteist vaid mönitada oskavad ja see toob maapinnale tagasi .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__254101.json
"['OK-nüüd-nyyd', 'OK-õige-öige']",ma nyyd ei räägi lihtsalt pimedast kaitsmisest söbramehe poolest vaid kaitsmisest öige asja pärast .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__254101.json
['OK-küll-kyll'],kurb kyll .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__254101.json
['OK-ülesse-ylesse'],meil pole vaja kellelegi alt ylesse vaadata ja ennast halvasti kohelda lasta .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__254101.json
['OK-vähemalt-v2hemalt'],Pole seda tahet t66l k2ia olnudki kellegil .... v2hemalt mitte lihtt66liste seas .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__266232.json
['OK-küll-kyll'],"Tige ei ole ma kirjutades , aga oravate suhtes olen tige kyll .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
"['OK-tõesti-töesti', 'OK-või-vöi']","ku inimene otsustab isiklikult minna välismaale ja seal töesti osaliselt hästi vöi väga hästi elab , siis elagu ja röömustagu , aga ärgu söimaku ... see on siiski ka isiklik otsus .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-või-vöi'],liec htensteini clan on olnud ja on üks rikkamaid klaane .... köikides nendes maades on olnud ja on rahapesuparadiisid jne . ja siisa veel ettevötlikus ei seisne ainult garaazis nutriad kasvatamises ... vöi kartuli viimisest leningradi ( tookord ) turule .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-küll-kyll'],"Tige ei ole ma kirjutades , aga oravate suhtes olen tige kyll .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-tõesti-töesti'],Neid ja nende vägitegusid ei salli ma töesti silmaotsaski .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-lõpuks-löpuks'],"4 ) 2010nda aasta löpuks oli Eestis 77 000 kindla välismaale tööleasumise sooviga inimest , kellest 43 000 inimest olid selleks juba teinud ka ettevalmistusi .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-tõesti-töesti'],Eest pole töesti hädaorg .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-üldse-yldse'],Ei ole see elu yldse roosiline .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-tõde-töde'],See on töde .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
"['OK-kõigest-köigest', 'OK-kõik-köik']","üsna peatselt avastate , et need sinu , , pöliseestlased ' ' koosnevad köigest neljast parteist ja sadadest tuhandedest pensionäridest , sest , , reeturid ja luuserid , kes Eesti hakkama ei saa ' ' on köik lahkunud .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-kõvasti-kovasti'],"Kylmal ajal maalt toonud vanemaid tekje ja oma riidekapis ka kovasti inspekteerinud ... soemad rõivad , mida ise ei kanna-pakin ära ja viin prügikasti kõrvale .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__383613.json
"['OK-sõna-sona', 'OK-sõna-sona', 'OK-üsna-ysna', 'OK-mõni-moni']","Kasutan juba aastaid sona "" neeger "" asemel sona "" must "" ja on ysna ebatoenaoline , et moni pigikoonal sellest kunagi aru saama hakkab .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__391473.json
['OK-kõik-k6ik'],"Sest te olete lihtsalt rumalad inimese sarnased olendid , kes oskavad ainult ise enda vajadustega arvestada ja k6ik mu on patt .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__494576.json
['OK-või-v6i'],"Just täpselt need samad tegelased ongi siin suure alkofännid , kes käivad kanepi teemadel kiremas kui kahjulik see on , et 6htul omale poolik v6i vein p2he valada .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__494576.json
['OK-pääle-pääle'],Sellist initsiatiivi on ajaloos küll nähtud ja pääle seda tuli reeglina sotsiaalne kataklüsm .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__494576.json
"['OK-kõik-kóik', 'OK-mõni-móni']","Tähtis pole mitte iga , kóik saavad endale peagi "" eide "" staatuse , sest aeg lendab üllatava kiirusega ja móni "" eit "" on palju kobedam oma olemuselt ja móttemallilt kui napilt róivastatud siresäärne "" modell "" .",Failid_ettenten_retaggered/rahvahaal_delfi_ee__580054.json
['OK-lõpuks-lōpuks'],Ka ürginimesest sai lōpuks inimene .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__685656.json
"['OK-eelkõige-eelkōige', 'OK-põhjal-pōhjal']",Inimest hinnatakse eelkōige tehtud tegude järgi mitte kuulujuttude pōhjal .,Failid_ettenten_retaggered/rahvahaal_delfi_ee__685656.json
['NAME-jää-Jee'],"Vastus : TIIVAD Raamatukogu bussi “ Katarina Jee ” sõidugraafik juhatas ristlejad Kolde puiestee kauni ja väärika klassitsistliku hoonekompleksi juurde , mille juurde kohalik “ Picasso ” oli oma jälje jätnud .",Failid_ettenten_retaggered/ristle_ee__427907.json
['OK-vähem-vahem'],"Puhus vahem kui eile , aga siiski oli hea .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-täna-Tana'],Tana saime paar pilti fotograafilt ja hiljem on veel palju pilte tulemas .,Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-jälle-jalle'],"Praegu oleme jalle Dima pool ja kuigi prognoosi homseks ei ole , voib vabalt puhuda .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-üldse-uldse'],"Hommikul veel uldse ei puhunud , aga paeva peale tostis monuga .",Failid_ettenten_retaggered/slowride_ee__509154.json
"['ENGLISH-tõde-tide', 'OK-jälle-jalle']","Nii low tide oli jalle , et uim kaib paris tihti pohjas .",Failid_ettenten_retaggered/slowride_ee__509154.json
['ENGLISH-tõde-tide'],Praegusel ajal ei kai tide tuulega kasi kaes .,Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-sügav-sugav'],"Hommikuti on vaga sugav vesi , aga ei ole tuult .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-tõde-tide'],Ohta poole laks tide vaga madalaks ja siuksega mingit culot keset riifi igaksjuhuks proovida ei taha .,Failid_ettenten_retaggered/slowride_ee__509154.json
"['OK-jälle-Jalle', 'OK-välja-valja']",Jalle lasime pimedani valja ja hiljem tegime rooga meie surfstationis .,Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-täiesti-taiesti'],"Kui randa joudsin kell 8 , siis oli tuule suund taiesti laanest .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-välja-valja'],"Vaga vaga gusty tuul oli , aga sai otse valja soita ja hupata .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-üle-ule'],Neljane puri oli vahepeal ramedalt ule .,Failid_ettenten_retaggered/slowride_ee__509154.json
"['OK-kõige-koige', 'OK-üldse-uldse']",Kell 1 olime uuesti peal ja seekord oli koige parem siin uldse .,Failid_ettenten_retaggered/slowride_ee__509154.json
"['ENGLISH-üle-ule', 'OK-jälle-jalle']",Tegin ule pika aja jalle skoput .,Failid_ettenten_retaggered/slowride_ee__509154.json
"['OK-jälle-jalle', 'OK-välja-valja']",Veest tehti pilte ja jalle soitsime pimedani valja .,Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-mööda-mooda'],"Laksime mooda randa ja kaugelt nagime , et sobrad Yegor ja Dima juba naudivad conditionit .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-kõik-koik'],Nautisime seda ilma kuni pimedani ja kui paike loojus kruisisime edasi Dima pool ja koik oli vaga hea .,Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-sügavam-sugavam'],"Eriti pull on lainest igasuguseid asju teha , kuigi vesi voiks sugavam olla .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-täiesti-taiesti'],Maha tulime alles taiesti pimedas .,Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-täna-Tana'],"Tana arkasime kohe Assalahs , et kohe vette minna .",Failid_ettenten_retaggered/slowride_ee__509154.json
"['OK-jälle-jalle', 'OK-päev-paev', 'OK-jälle-jalle']","Hiljem kui korgemaks laks oli jalle eriti pull soita , Paris hea paev jalle , aga me arvame et oige tuul on alles tulemas .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-üks-yks'],"prognoosi polnud ja kruisisime lihtsalt beachil ja ootasime tuult , kui yks hetk hakkas lihtsalt puhuma .",Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-päev-paev'],Meil oli siuke natukene vaiksema tuule paev .,Failid_ettenten_retaggered/slowride_ee__509154.json
['OK-üks-Yks'],Yks hetk tuli aga switch shaka feeling ja kohe esimene katse tuli paris lahedale .,Failid_ettenten_retaggered/slowride_ee__509154.json
['ENGLISH-tõde-tide'],Muidu oli paris low tide ja riifi peal vaga palju vett ei olnud .,Failid_ettenten_retaggered/slowride_ee__509154.json
"['OK-päev-paev', 'OK-sügav-sugav', 'OK-hästi-hasti']","Kuidagi vaga hea paev oliu juba oklnd ja siis motlesin t-bone’i tegema hakata ja sain suht okei laine , maandudes aga sain aru et vesi polegi nii sugav sest oli siuke tunne nagu oleks seljaga lihtsalt riifi peale maandund :D . hasti pull tunne oli .",Failid_ettenten_retaggered/slowride_ee__509154.json
"['OK-üldse-yldse', 'OK-hästi-hasti', 'ENGLISH-tõde-tide']",yldse on hasti tore nende low tide ’ idega seal riifi peal vedeleda .,Failid_ettenten_retaggered/slowride_ee__509154.json
['NAME-järel-Jerel'],"Asseco Procomi parim oli Drew Viney 19 punktiga , Jerel Blassingame lisas 18 ja Robert Witka 15 punkti .",Failid_ettenten_retaggered/sport_postimees_ee__502403.json
['NAME-sõõm-Soom'],"Pille Minev , Heti Tulve , Reet Roos , Tiina Ristimets , Maret Soom , Herdis Ojasu ja Gerly Kedelauk , kes missioonitundest on loonud MTÜ Naised Emakakaelavähi Vastu , käisid suvel mööda Eestit ja uurisid , kui hea on naiste seksuaalne teadlikkus .",Failid_ettenten_retaggered/static_inimene_ee__40076.json
['OK-õde-ide'],"Veel enam aga ebastabiilne olukord Gruusias , kus mõningate vähemuste ja piirkondade separatistlikud püüdlused annavad võimaluse mitmesuguste konfliktide , aga ka naftajuhtme enda vastu suunatud sabotaa  ide instseneerimiseks .",Failid_ettenten_retaggered/syndikaat_ee__611087.json
['OK-üle-ule'],"Olles oma valikud vastavalt albumi temaatikale ja feeling  ule langetanud , saad tegelikult edasi minna ja laulma hakata .",Failid_ettenten_retaggered/tartu_postimees_ee__2105.json
['NAME-käis-Kris'],"12:30 sele praamile kimasime siis Alar , Volots Kris ja meie Arbo ja Liisiga .",Failid_ettenten_retaggered/teamvosa_ee__449564.json
['OK-käis-Kris'],Kris lammutas võimalikult kõrgeid aeriale jne .,Failid_ettenten_retaggered/teamvosa_ee__449564.json
['OK-õun-fun'],"Aga täielik fun , päike tuli ka välja ja vahused harjad kollidel sillerdasid , nägu peeretas ikka koguaeg peas .",Failid_ettenten_retaggered/unitedkiters_ee__211077.json
['ENGLISH-õun-fun'],no fun .,Failid_ettenten_retaggered/unitedkiters_ee__38801.json
['NAME-tõde-Tide'],"Procter & Gamble on maailma suurim tarbekaupade tootja , kes valmistab näiteks pesupulbreid Tide ja Ariel .",Failid_ettenten_retaggered/uudised_err_ee__109365.json
['OK-üle-ile'],Lisaks sellele soovib politsei uurida mõnda Madeleine  ile kuulunud mänguasja .,Failid_ettenten_retaggered/uudisvoog_postimees_ee__48549.json
['NAME-mäss-Moss'],"Selle aasta nominendid on eranditult aasta tähed maalikunstis , kõigil on seljataga rohkem kui üks kõnekas isiknäitus kodu- või välismaal – Rauno Thomas Moss , Andres Tolts , Maarit Murka , Tõnis Saadoja .",Failid_ettenten_retaggered/uuseesti_ee__225273.json
"['NAME-ümber-Amber', 'NAME-hüpe-Hope']","Suuremad nendest , millel Kaitseliidu üksused on osalenud , olid Kaitseväe suurõppus „ Kevadtorm 2011 “, Põhja KRK võitlusgruppide lahingulaager , rahvusvaheline õppus „ Amber Hope 2011 “ ja erinevate malevate poolt läbiviidavad teised reservõppekogunemised .",Failid_ettenten_retaggered/uusweb_kaitseliit_ee__620088.json
['NAME-süli-Sali'],"Tirana , 5. aprill 2010 – Peaminister Andrus Ansip väljendas tänasel kohtumisel Albaania peaministri Sali Berishaga kindlat toetust kõigile vajalikele reformidele , mis viivad riiki lähemale liitumisele Euroopa Liiduga .",Failid_ettenten_retaggered/valitsus_ee__116901.json
['OK-jäänus-jaanus'],"jaanus 22 - 02 - 11 12:03 Seekord valik ei muutunud , küll aga eelmisel korral .",Failid_ettenten_retaggered/vikerraadio_err_ee__338386.json
"['OK-anonüümne-anonyymne', 'OK-üle-yle']",anonyymne 07 - 06 - 12 10:36 kuidas saada systalde ja vereanalyyside võtmise hirmust yle .,Failid_ettenten_retaggered/vikerraadio_err_ee__575012.json
"['OK-nüüd-nyyd', 'OK-üle-yle']",nyyd aga yle 30 aastane .,Failid_ettenten_retaggered/vikerraadio_err_ee__575012.json
['OK-üle-yle'],olen tuhninud arhiividest aga tulutult sest kõik minu vereproovi võtmised on ebaõnnestunud sel ajal kui arsti jõud must yle käis .,Failid_ettenten_retaggered/vikerraadio_err_ee__575012.json
['OK-jäänus-jaanus'],"jaanus 30 - 11 - 09 12:38 Üldiselt arvan , eton mõttekas jätkata neil , kellel on suuremad sissetulekud .",Failid_ettenten_retaggered/vikerraadio_err_ee__630191.json
['NAME-äri-Pri'],"KFOR koosneb peakorterist Pri  tinas , neljast riikidevahelisest brigaadist ning riikidevahelisest eriüksusest ( MSU ) .",Failid_ettenten_retaggered/vnl_ee__249944.json
['OK-jää-jee'],"4 purjakil beebid , jee .",Failid_ettenten_retaggered/vonbi_cmyk_ee__449670.json
['NAME-öine-Line'],"MuPad-il on kasutajavaenulik Command Line tüüpi graafiline kasutajaliides , ebaloogilised ning raskesti õpitavad funktsioonide nimed , disfunktsionaalne dokumentatsioon .",Failid_ettenten_retaggered/wiki_cs_ut_ee__275692.json
['ENGLISH-öine-line'],"kuna enamik veebilehti asub UNIX-il baseeruvates serverites , siis on veebilehtede koodis enamasti realõpuks vaid LF ( line feed kood ) , mida Notepad aga reavahetusena ei tõlgenda ning sellised failid näevad Notepadiga avades välja nagu üks pikk-pikk rida teksti .",Failid_ettenten_retaggered/wiki_hinnavaatlus_ee__24750.json
['NAME-õun-Jun'],"Süle- ja pihuarvutid Thu , 05 Jun 2008 21:50:33 + 0300 ASUS valmistub esitlema sülearvuteid platvormidel Montevina ja Puma http://www.3dnews.ee/est/mobile/ASUS_05_06 Itaalia veebilehel notebookitalia on avaldatud info , et Taiwani firma ASUS valmistub näitusel Computex 2008 esitlema sülearvutite uusi sarju , mis põhinevad platvormidel Intel Montevina ja AMD Puma .",Failid_ettenten_retaggered/www_3dnews_ee__150870.json
['NAME-õun-Jun'],"Süle- ja pihuarvutid Thu , 05 Jun 2008 13:43:28 + 0300 Lenovo ThinkPad T61 on sülearvuti neile , kes tõepoolest töötavad http://www.3dnews.ee/est/mobile/Lenovo_27_05 Tänapäevased DTR-klassi kuuluvad mobiilarvutid , muutuvad üha sagedamini mitte ainult lauaarvuti ajutiseks mobiilseks asendajaks , vaid tõrjuvad need turult hoopis välja .",Failid_ettenten_retaggered/www_3dnews_ee__150870.json
['OK-õis-vis'],"Nõnda kandub selle naise helge vägi kaudselt paljude inimesteni , kes ise enamasti ei teagi , kustkohast pärineb nendeni kandunud vis vitalis .",Failid_ettenten_retaggered/www_aabramihobulausujad_ee__542524.json
['NAME-süli-Seli'],"Lea Seli Toila SPAst teab : „ Mina tean Reenit alates sellest ajast , kui ta minu kuuele lapsele esimesi tarkusi laulu ja muusika alal jagas .",Failid_ettenten_retaggered/www_aabramihobulausujad_ee__542524.json
['OK-müük-MEEK'],"Programmi toetuste maht on 47,7 MEUR ( 746,3 MEEK ) ja kasusaajate omafinantseerimine projektides on vähemalt 10% .",Failid_ettenten_retaggered/www_advisio_ee__620340.json
['NAME-münt-Mint'],"- Rohemündi ( M . spicata ) sorti ‘ Maroco ’ ( ka ‘ Moroccan Mint ’) ehk rahvakeeles lihtsalt maroko münti tuntakse meil veel vähe , kuigi aedades on rohemünt laialt levinud .",Failid_ettenten_retaggered/www_aialeht_ee__348964.json
['NAME-öine-Wine'],"Inglise keeles on punakarvane vaarikas Japanese Wineberry , Wineberry või Wine raspberry .",Failid_ettenten_retaggered/www_aialeht_ee__93397.json
['NAME-äri-Ari'],Tänavu kutsus YSLi disainer Stefano Pilati 2011. aasta meestekollektsiooni kajastavat filmi lavastama kuulsa fotograafi ja režissööri Ari Marcopoulose .,Failid_ettenten_retaggered/www_ajakirimood_ee__24202.json
